pickup_hour,avg_fare
0,13.032342538203958
1,12.69383509837256
2,12.565115445837971
3,13.090436207002966
4,14.868376214369622
5,15.846738371239303
6,12.966346011415053
7,11.820213343195379
8,11.797030916083582
9,11.79312225357688
10,11.926049039092412
11,11.992273728364335
12,11.95295536556294
13,12.272445677304033
14,12.861039818599128
15,12.772727399836752
16,12.72424780803383
17,12.316119987592318
18,11.753253532997455
19,11.529925443017644
20,11.914229624037137
21,12.270103146469308
22,12.761973023091672
23,13.133361740124467
